# mob_stats_149.csv — plan44 G-05. Snapshot of MobStats table (src/game/Entities.hpp)
# + vanilla provenance. Test: tests/test_mob_stats_full.cpp reads this file.
# speed unit: repo-local (blocks/tick-ish AI scale; vanilla ordering preserved, NOT vanilla m/s).
# slime/magma_cube HP/attack are size-variable via mobStats(k,size): 1/4/16 HP, slime atk=size, magma atk=size+2.
# ender_dragon xp 12000 = first kill (subsequent 500). piglin_brute xp 20 (vanilla).
name,hp,speed,attack,followRange,xp,dropItem,dropMin,dropMax,breedingItem,provenance
minecraft:pig,10.,0.10,0.,16.0,1,minecraft:porkchop,1,3,minecraft:carrot,default16
minecraft:cow,10.,0.09,0.,16.0,1,minecraft:beef,1,3,minecraft:wheat,default16
minecraft:sheep,8.,0.09,0.,16.0,1,minecraft:mutton,1,2,minecraft:wheat,default16
minecraft:chicken,4.,0.09,0.,16.0,1,minecraft:chicken,1,1,minecraft:wheat_seeds,default16
minecraft:zombie,20.,0.085,3.,35.0,5,minecraft:rotten_flesh,0,2,,vanilla-fr
minecraft:creeper,20.,0.095,0.,16.0,5,,0,0,,default16
minecraft:skeleton,20.,0.10,2.,16.0,5,minecraft:bone,0,2,,default16
minecraft:spider,16.,0.13,2.,16.0,5,minecraft:string,0,2,,default16
minecraft:slime,4.,0.06,2.,16.0,4,minecraft:slime_ball,0,2,,default16
minecraft:enderman,40.,0.12,7.,64.0,5,minecraft:ender_pearl,0,1,,vanilla-fr
minecraft:witch,26.,0.09,3.,32.0,5,minecraft:glowstone_dust,0,2,,vanilla-fr
minecraft:rabbit,3.,0.13,0.,16.0,1,minecraft:rabbit_hide,0,1,minecraft:dandelion,default16
minecraft:villager,20.,0.09,0.,16.0,0,,0,0,,default16
minecraft:wither,300.,0.08,8.,40.0,50,minecraft:nether_star,1,1,,vanilla-fr
minecraft:ender_dragon,200.,0.10,10.,64.0,12000,,0,0,,vanilla-fr
minecraft:blaze,20.,0.09,6.,48.0,10,minecraft:blaze_rod,0,1,,vanilla-fr
minecraft:ghast,10.,0.06,8.,100.0,5,minecraft:ghast_tear,0,1,,vanilla-fr
minecraft:wither_skeleton,20.,0.10,8.,16.0,5,minecraft:bone,0,2,,default16
minecraft:magma_cube,16.,0.06,3.,16.0,4,minecraft:magma_cream,0,1,,default16
minecraft:guardian,30.,0.08,6.,16.0,10,minecraft:prismarine_shard,0,2,,default16
minecraft:elder_guardian,80.,0.06,8.,16.0,10,minecraft:prismarine_shard,0,2,,default16
minecraft:evoker,24.,0.09,6.,12.0,10,minecraft:totem_of_undying,0,1,,vanilla-fr
minecraft:vex,14.,0.12,5.,64.0,3,,0,0,,vanilla-fr
minecraft:hoglin,40.,0.09,6.,32.0,5,minecraft:porkchop,2,4,,vanilla-fr
minecraft:piglin,16.,0.09,5.,16.0,5,minecraft:gold_nugget,0,2,,default16
minecraft:axolotl,14.,0.09,2.,16.0,1,minecraft:axolotl_bucket,0,0,minecraft:tropical_fish_bucket,default16
minecraft:goat,10.,0.11,3.,16.0,1,,0,0,minecraft:wheat,default16
minecraft:horse,30.,0.12,0.,16.0,1,minecraft:leather,0,2,minecraft:golden_carrot,default16
minecraft:llama,22.,0.09,0.,16.0,1,minecraft:leather,1,2,minecraft:hay_block,default16
minecraft:panda,20.,0.08,6.,16.0,1,minecraft:bamboo,1,2,minecraft:bamboo,default16
minecraft:fox,10.,0.10,2.,16.0,2,minecraft:sweet_berries,0,1,minecraft:sweet_berries,default16
minecraft:frog,10.,0.09,0.,16.0,2,,0,0,minecraft:slime_ball,default16
minecraft:dolphin,10.,0.12,3.,16.0,1,,0,0,minecraft:cod,default16
minecraft:turtle,30.,0.07,0.,16.0,1,minecraft:seagrass,0,1,minecraft:seagrass,default16
minecraft:bat,6.,0.08,0.,16.0,0,,0,0,,default16
minecraft:cod,3.,0.10,0.,16.0,1,minecraft:cod,1,1,,default16
minecraft:salmon,3.,0.10,0.,16.0,1,minecraft:salmon,1,1,,default16
minecraft:tropical_fish,3.,0.10,0.,16.0,1,minecraft:tropical_fish,1,1,,default16
minecraft:pufferfish,3.,0.10,0.,16.0,1,minecraft:pufferfish,1,1,,default16
minecraft:squid,10.,0.08,0.,16.0,1,minecraft:ink_sac,1,3,,default16
minecraft:glow_squid,10.,0.08,0.,16.0,1,minecraft:glow_ink_sac,1,3,,default16
minecraft:warden,500.,0.07,30.,16.0,5,minecraft:sculk_catalyst,1,1,,default16
minecraft:phantom,20.,0.12,6.,16.0,5,minecraft:phantom_membrane,0,1,,default16
minecraft:iron_golem,100.,0.08,15.,16.0,0,minecraft:iron_ingot,3,5,,default16
minecraft:allay,20.,0.09,0.,16.0,0,,0,0,,default16
minecraft:shulker,30.,0.05,4.,16.0,5,minecraft:shulker_shell,0,1,,default16
minecraft:boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:minecart,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:armadillo,12.,0.09,0.,16.0,0,minecraft:armadillo_scute,1,1,,default16
minecraft:bee,10.,0.10,2.,16.0,0,,0,0,,default16
minecraft:bogged,16.,0.10,2.,16.0,5,minecraft:arrow,0,2,,default16
minecraft:breeze,30.,0.09,6.,24.0,5,minecraft:breeze_rod,0,1,,vanilla-fr
minecraft:camel,32.,0.09,0.,16.0,0,,0,0,,default16
minecraft:cat,10.,0.10,3.,16.0,0,,0,0,,default16
minecraft:cave_spider,12.,0.12,2.,16.0,5,minecraft:string,0,2,,default16
minecraft:creaking,1.,0.08,7.,32.0,5,minecraft:resin_clump,0,2,,vanilla-fr
minecraft:donkey,22.,0.10,0.,16.0,0,minecraft:leather,0,2,minecraft:golden_carrot,default16
minecraft:drowned,20.,0.09,3.,35.0,5,minecraft:rotten_flesh,0,2,,vanilla-fr
minecraft:endermite,8.,0.10,2.,16.0,3,,0,0,,default16
minecraft:husk,20.,0.09,3.,35.0,5,minecraft:rotten_flesh,0,2,,vanilla-fr
minecraft:illusioner,32.,0.09,4.,12.0,5,,0,0,,vanilla-fr
minecraft:mooshroom,10.,0.09,0.,16.0,1,,0,0,minecraft:wheat,default16
minecraft:mule,22.,0.10,0.,16.0,0,minecraft:leather,0,2,minecraft:golden_carrot,default16
minecraft:ocelot,10.,0.10,3.,16.0,1,,0,0,minecraft:cod,default16
minecraft:parrot,6.,0.10,0.,16.0,1,,0,0,minecraft:cookie,default16
minecraft:piglin_brute,50.,0.09,7.,16.0,20,minecraft:gold_nugget,0,1,,default16
minecraft:pillager,24.,0.10,5.,32.0,5,minecraft:crossbow,0,1,,vanilla-fr
minecraft:polar_bear,30.,0.09,6.,16.0,5,,0,0,,default16
minecraft:ravager,100.,0.08,12.,32.0,20,,0,0,,vanilla-fr
minecraft:silverfish,8.,0.11,1.,16.0,5,,0,0,,default16
minecraft:skeleton_horse,15.,0.12,0.,16.0,0,,0,0,,default16
minecraft:zombie_horse,15.,0.11,0.,16.0,0,,0,0,,default16
minecraft:sniffer,14.,0.08,0.,16.0,1,,0,0,minecraft:torchflower_seeds,default16
minecraft:snow_golem,4.,0.10,0.,16.0,0,,0,0,minecraft:snowball,default16
minecraft:stray,20.,0.10,2.,16.0,5,minecraft:bone,0,2,,default16
minecraft:strider,20.,0.09,2.,16.0,1,,0,0,minecraft:warped_fungus,default16
minecraft:tadpole,6.,0.09,0.,16.0,1,,0,0,minecraft:slime_ball,default16
minecraft:trader_llama,14.,0.09,3.,16.0,0,,0,0,,default16
minecraft:vindicator,24.,0.09,5.,16.0,5,minecraft:emerald,0,1,,default16
minecraft:wandering_trader,20.,0.09,0.,16.0,0,,0,0,,default16
minecraft:wolf,16.,0.10,4.,16.0,1,,0,0,minecraft:bone,default16
minecraft:zoglin,40.,0.09,6.,32.0,5,minecraft:rotten_flesh,0,1,,vanilla-fr
minecraft:zombie_villager,20.,0.085,3.,35.0,5,minecraft:rotten_flesh,0,2,,vanilla-fr
minecraft:zombified_piglin,20.,0.09,5.,35.0,5,minecraft:gold_nugget,0,1,,vanilla-fr
minecraft:giant,100.,0.08,10.,16.0,10,,0,0,,default16
minecraft:evoker_fangs,1.,0.00,6.,0.0,0,,0,0,,na-nonliving
minecraft:end_crystal,1.,0.00,0.,0.0,0,,0,0,,na-nonliving
minecraft:oak_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:spruce_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:birch_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:jungle_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:acacia_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:dark_oak_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:mangrove_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:cherry_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:pale_oak_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:bamboo_raft,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:oak_chest_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:spruce_chest_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:birch_chest_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:jungle_chest_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:acacia_chest_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:dark_oak_chest_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:mangrove_chest_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:cherry_chest_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
